# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
BW;Transgourmet Deutschland GmbH & Co. OHG, Selgros Cash & Carry Markt Heilbronn;Austraße 95;74076 Heilbronn;;BW 21001;;;X;X;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;
BW;OM-Catering;Hasenrütte 4;79713 Bad Säckingen;;BW 58040;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;Catering/Großküche;;;;
BY;Diepold GmbH;Hauptstraße 53;82008 Unterhaching;;BY 10174;;;;;B;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Heiss GmbH;Im Gewerbegebiet 3;83093 Bad Endorf;;BY 14016;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Helmut Absmeier;Pfarrer-Wenninger-Straße 19;94099 Ruhstorf;;BY 20231;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Helmut Kynast;Oelschnitz 30a;95236 Stammbach;;BY 40364;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Helmut Schmitt;Großziegenfeld 32;96260 Weismain;;BY 40317;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Christian Gaßner;Dorfstraße 34;84533 Haiming OT Niedergottsau;;BY 10135;;;;;B, O, P;B, O, P;;;fG;fG;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hennes Eier und Nudel GbR;Langenspach 4;83355 Grabenstätt;;BY 17045;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Herbert Beck;Luckenpainter Straße 13a;93107 Thalmassing;;BY 30504;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Herbert Lukas;Weiherstraße 4a;90602 Pyrbaum;;BY 30545;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Herbert Schneider;Burgstraße 8;85135 Titting OT Altdorf;;BY 10075;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Herbert und Petra Dichtl GbR;Hauptstraße 24;86459 Gessertshausen;;BY 70402;;;;;B, P;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Stefanie Welsch, Hofladen Bauer;Alte Schmiede 2;96224 Burgkunstadt;;BY 40068;;;;;;P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hermann Huber, Häute und Felle;Ulmer Straße 11;86154 Augsburg;;BY 70088;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;
BY;Herrmannsdorfer Landwerkstätten Glonn GmbH & Co. KG;Herrmannsdorf 7;85625 Glonn;;BY 10010;;;;;S, B, O, P, C;S, B, O, P, C;;;;;wU;wU;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;X;;X;;;;;;;;;X;;;;;;;;;;;;;;;
BY;Herrlein`s Bauernlädchen;Bürtel 3;91224 Pommelsbrunn;;BY 50260;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;IGS - Industriepark Gersthofen Servicegesellschaft mbH;Ludwig-Hermann-Straße 100;86368 Gersthofen;;BY 70277;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
BY;Ingeborg Riedl;Oberharthausenerstraße 4;94333 Geiselhöring;;BY 20127;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Inntal-Werkstätten Stiftung Attl;Attel 13;83512 Wasserburg a.Inn;;BY 17020;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Inter-Planing GmbH;Kirchsteigstraße 10;86476 Neuburg a.d.Kammel;;BY 70104;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;
BY;Irmgard Achberger;Bregenzer Straße 90;88171 Weiler-Simmerberg;;BY 70084;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;J. A. Zwingel GmbH;Leyher Straße 107;90431 Nürnberg;;BY 50150;;;;;;S, B, O, P, C;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Jagdgenossenschaft Fürstenstein;Vilshofener Straße 9;94538 Fürstenstein;;BY 20355;;;;;B, O;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Jahn Spitzenberg GbR;Spitzenberg 48;84137 Vilsbiburg;;BY 20152;;;;;C, O;;;;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;;;
BY;Hörmann Wurst GmbH & Co. KG;Bergstr. 4;86508 Rehling;;BY 70326;;;;;;B, O, P;;;;;wL, wU, wA, wG;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Heinrich Graf zu Ortenburg Gräflich Ortenburg`sche Verwaltung;Schloßallee 1;96479 Weitramsdorf / OT Tambach;;BY 40353;;;;;B, O;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Jakob Kiermeier;Reith 1;85408 Gammelsdorf;;BY 17066;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Jeneil BioProducts GmbH;Am Eschengrund 9;83135 Schechen;;BY 13012;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;
BY;Robert Altmann;Gigler 1;84365 Bad Birnbach;;BY 20164;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Landgasthof & Metzgerei Räucherhansl;Oberteisbach 2;84180 Loiching;;BY 20257;;;;;B, O, P;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Einsle GmbH;Bergknappenweg 16;94249 Bodenmais;;BY 20250;;;;;;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Endraß;Buchäckergasse 5;87541 Bad Hindelang;;BY 70254;;;;;;B, P;;;;;wA, wL, wU, wG;wA, wL, wU, wG;;B, P, wA, wL, wU, wG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Ernst Breu;Schwellenweg 16;93458 Eschlkam;;BY 30025;;;;;B, O, P, C;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Erwin Fuchs;Langquarter Straße 10;84155 Bodenkirchen-Bonbruck;;BY 20102;;;;;B, C, O, P;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Eva Haslauer ;St.-Georgs-Platz 2;83624 Otterfing;;BY 10148;;;;;B;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Faltermeier;Hauptstraße 14;84427 St. Wolfgang;;BY 10227;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Dorsch GmbH & Co.KG;Gutenbergstraße 1;97526 Sennfeld (LRA SW);;BY 60219;;;;;;B, P;;;;;;;;P;;mp;;;;;;;;;;B, C, O;;;X;;;;;;;;;;;Catering/Großküche;;;;
BY;Ludwig Filser;Burglachbergstraße 18;86972 Altenstadt;;BY 10117;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Fischer;Bühringerstraße 28;91710 Gunzenhausen;;BY 50334;;;;;;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Ihr Metzger Fleischmann GmbH;Ahrainer Straße 13;84051 Essenbach;;BY 20182;;;;;;B, O, P;;;;;;;;B, O, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Frank Rögele;Wassergasse 6;97340 Marktbreit;;BY 60292;;;;;;B, O, P;;;;;;;;P;;mp;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
BW;Original Schwarzwälder Spezialitäten Lothar Mei;Herrenzimmerner Straße 14;78662 Bösingen;;BW 55023;;;;;;B, C, O, P;;;;fG;;wU;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;S, B, O, P, C, A, L, fG, R, wU, wA, wG, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Otto's Hausmacher;Wüstenbacherweg 8;71546 Aspach;;BW 19022;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Özbek Tat GmbH;Wieblinger Weg 100;69123 Heidelberg;;BW 38000;;;;;;;;;;;;;;A, B, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Paulinenpflege Winnenden e.V.;Degenhofer Straße 99;71364 Winnenden;;BW 02852;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Peter Bosch;Ulmer Straße 58;89197 Weidenstetten;;BW 70006;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Peter Buyer;Schleifweg 40;74336 Brackenheim;;BW 02721;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Bernd Vogelbacher;Dorfstraße 20;79859 Schluchsee;;BW 50041;;;;;B, O;;A;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Petra Kohn;Wittinger Straße 44;73312 Geislingen;;BW 02877;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Pfauenhof;Pfauenhof 1;72644 Oberbohingen;;BW 11018;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Pfennigwerth Frischdienst GmbH;Lange Äcker 18-22;71522 Backnang;;BW 01049;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Pfrommer GmbH & Co.KG;Sägewerkstraße 1-5;75181 Pforzheim;;BW 03014;;X;X;;;;;;;;;;B, P;B, P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Metzgerei Manfred Frick GmbH;Bahnhofstraße 13;72505 Krauchenwies;;BW 75100;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BW;PROHOGA Ortenau GmbH & Co. KG;Gewerbestraße 11;77749 Hohberg;;BW 05028;;X;X;;;B, P;;;;;;;B, P;;;;;;;;;;;;;S, B, O, C;;;;;;;;X;;;;;;;;;;
BW;Raimund Feile;Stuhlstraße 3;74193 Schwaigern;;BW 02777;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Rainer Kinkel ;Bonholz 6;73553 Alfdorf;;BW 19018;;;;;B, P, O, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hiebls Nudelei, Silke Klosterberg;An der Alten Ziegelei 5;89269 Vöhringen;;BY 70578;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;X;X;;;;;;;;;;
BY;Hipp GmbH & Co. Produktion KG;Georg-Hipp-Straße 7;85276 Pfaffenhofen a.d.Ilm;;BY 10334;;;X;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
BY;Georg Hartinger;Hodersberg 1;84427 St. Wolfgang;;BY 13031;;;;;;;;;;;;;;;;;;;;;;;;;;B, O;;;;;;;;;;;;;;;;;;
BY;Hofkäserei Lipp;Stelle 1;87494 Rückholz;;BY 70520;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BY;Hofkäserei Wohlfahrt;Weissenberg 1;92265 Edelsfeld;;BY 30233;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BY;Hofladen im Moos;Ingolstädter Straße 76a;86669 Königsmoos;;BY 10241;;;;;B, C, O, P;B, C, O, P;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofladen Kleinle GbR;Aislinger Straße 30;89415 Lauingen (Donau);;BY 70161;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Hofmann und Helm Landwirtschafts GbR;Sondernohe 18;91604 Flachslanden;;BY 50163;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Dietmar Bayer;Hauptstraße 40;91790 Raitenbuch;;BY 50249;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Florian Stirner;Westerndorf 93;84567 Perach;;BY 10468;;;;;B, C, O, P;B, C, O, P;;A;fG;fG;wU, wG, wA, wL;;C, B, O, P;B, P, A, wG, wU, C, O, fG, wL;;mp;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Führer;Perchtinger Straße 1;82131 Gauting;;BY 10282;;;;;B, P;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Höfermühle, Alfons Gierl;Zur Mühle 1;94244 Geiersthal;;BY 20054;;;;;B, C, O, P, S;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hesselbergmetzger Karlheinz Heß;Bergstraße 2;91740 Röckingen;;BY 50290;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Götz;Wölkendorf 30;96187 Stadelhofen;;BY 40277;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Manuela Haas;Hauptstraße 33;85123 Karlskron;;BY 10279;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Huber;Holzhäuseln 18;84172 Buch a.Erlbach;;BY 20215;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Kellerer;St.-Peter-Straße 1;84104 Grafendorf;;BY 17076;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Johann Maier;Hochstraße 11;82024 Taufkirchen;;BY 10268;;;;;B, O, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hans- Günther Ned;Saldenau 28;94545 Hohenau;;BY 20106;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Sabine Pölz;Galland 40;84518 Garching a.d.Alz;;BY 17069;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Andreas Popp;Leupser Mühle 1;91257 Pegnitz;;BY 40306;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Reiter GmbH & Co. KG;Teisendorfer Straße 80 a;83317 Teisendorf-Achthal;;BY 10224;;;;;B, O, P;B, O, P;;;;fG;wU, wG;wU, wG;B, P;B, P, A, fG, wU, wG;;mp;;X;;;;;;;;;;;X;;;;;X;;;;;;;;;;
BY;Johann Riedler;St.-Georg-Str 4;86479 Aichen;;BY 70314;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Stahl;Allersdorf 12;94374 Schwarzach;;BY 20318;;;;;B, C, O, P;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Barbara Kamhuber;Gröben 2;84570 Polling;;BY 10083;;;;;P;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Biolandhof Braun GbR;Dürneck 23;85354 Freising;;BY 13017;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
BY;Josef Drexler, Gehegewildhalter;Dautersdorf 29;92554 Thanstein;;BY 30349;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Ebner;Angerfeld 66;94469 Deggendorf;;BY 20343;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Fischer Wildfleischhandel;Reith 2;84347 Pfarrkirchen;;BY 20211;;;;;;;;;fG;fG;wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Göbel;Dorfstraße 7;86673 Attenfeld;;BY 17048;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Josef Grabmaier;Stadelhof 3;85283 Wolnzach;;BY 17101;;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Josef Gruber;Baumschulenstraße 11;93083 Obertraubling;;BY 30437;;;;;B, P;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Donhauser;Dorfplatz 2;94522 Wallersdorf- Altenbuch;;BY 20148;;;;;B, O, P;B, O, P;;;;;wL, wU, wG;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Feckl;Schwindkirchen 24;84405 Dorfen;;BY 10409;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Höcherl GbR;Rodinger Straße 1;93167 Falkenstein;;BY 30320;;;;;B, O, P;B, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Franz Sax;Hauptstraße 14;94330 Geltofing;;BY 20193;;;;;;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Eleonore und Bernd Wirrer;Oberer Furthof 2;94244 Geiersthal;;BY 20173;;;;;B, O, P;B, O, P;;;;;wU, wG, wA, wL;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Franz Weigert;Brunlettstraße 1;92287 Schmidmühlen;;BY 30174;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Fries;Bergstraße 1;63849 Leidersbach;;BY 60055;;;;;B, P;B, P;;;;;wA, wL, wU, wG;wA, wL, wU, wG;;B, P, wA, wL, wU, wG;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Metzgerei Baumann;Geheimrat-Frank-Straße 4;94566 Riedlhütte;;BY 20058;;;;;P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Fritz Meier;Hauptstraße 17;94518 Spiegelau;;BY 20359;;;;;B, O, P;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Fritz Schmitt;Seestraße 25;97529 Sulzheim;;BY 60217;;;;;B, P;;;;;;;;;;;mp;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Fürst;Hauptstraße 43;90537 Feucht;;BY 50259;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Rainer und Andrea Specht GbR;Forchtenberger Straße 28;74639 Orendelsall;;BW 02744;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;
BW;Rainer Vogelmann GbR;Dorfmitte 7;74535 Mainhardt OT Bubenorbis;;BW 20235;;;;;B, C, O, P;B, C, O, P;;;fG;fG;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Ralf Hübner;Fischbachweg 66;71560 Sulzbach;;BW 19027;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Rathaus-Metzgerei Wittlinger;Hauptstraße 5;89555 Steinheim;;BW 13002;;;;;B, P, O;B, P, O;;;;;;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Remstaler Wurstmanufaktur GmbH;Brückenstraße 1;71384 Weinstadt;;BW 19108;;;;;;B, P;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Transgourmet Deutschland GmbH & Co. OHG;Eiselauer Weg 2;89081 Ulm;;BW 07088;;X;;X;;B, O, P, C;;A;;fG;;;B, P;B, O, P, C, A, fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Richard Eichinger;Forster Straße 6;76646 Bruchsal;;BW 04061;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Riegger, Hans-Peter;Hauptstraße 46;79215 Elzach;;BW 51201;;;;;;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Rita Bauknecht;Laubbach Kirchweg 8;88356 Ostrach;;BW 07062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
BW;RKS Regional Küchen Service GmbH;Sautierstraße 1;79104 Freiburg;;BW 59009;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Roland Preiß;Brunnenstr 2;74541 Vellberg OT Talheim;;BW 02833;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Rolf Möhle ;Entenstraße 33;71546 Aspach;;BW 19012;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Rolf und Frank Häußermann GmbH;Helfenbergerstraße 19;71717 Beilstein;;BW 14038;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Rosenstein Metzgerei;Rosensteinstr. 49;73540 Heubach OT Lautern;;BW 18026;;;;;P, B, O, C;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BW;Rudolf Bross;Brunnengässle 6;72531 Hohenstein-Eglingen;;BW 07582;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BW;Rainer Neser;Freudenbach 102;97993 Creglingen;;BW 02707;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Lohnschlachterei & Hofmetzgerei Niedermaier;Oberhub 6;83533 Edling;;BY 10431;;;;;B, O, P, C;B, O, P, C;;;fG;fG;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Josef Beer;Marktstraße 16;92358 Seubersdorf i.d.OPf.;;BY 30069;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Müller;An der Zeiße 16;86695 Blankenburg;;BY 70279;;;;;B, O, P, C;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei-Partyservice Hülf;Hauptstraße 6;91619 Obernzenn;;BY 50043;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofvermarktung Kniffka;Oberbürg 7;92345 Dietfurt a.d.Altmühl;;BY 30354;;;;;O, P;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Höhenrainer Delikatessen GmbH;Lauser Str. 1;83620 Großhöhenrain;;BY 15016;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Reinthaler, Erika;Sulzhof 1;86720 Nördlingen;;BY 70517;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Horst Starzengruber;Stölln 4;84375 Kirchdorf a.Inn;;BY 20124;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Weigand GmbH & Co. KG - Ihr Frische-Logistiker;Alte Landstraße 12;83026 Rosenheim;;BY 10207;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hotel Brauereigasthof Falter, Eduard Falter;Ziegelbach 1;95183 Feilitzsch;;BY 40337;;;;;O;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hotel zur Post, Familie Albrecht-Stocker GmbH;Dorfplatz 14;83101 Rohrdorf;;BY 10362;;;;;;B, C, O, P;;L;;fG;;;;B, C, O, P, L, fG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Landwirtschaftliche Direktvermarktung M. Kerler;Hutweg 30;91074 Herzogenaurach;;BY 50257;;;;;C, O, P, S;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Matthias Mühlhauser;Hausen 49;84518 Garching an der Alz;;BY 17070;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Hubert Wohlfahrt;Hintergereuth 15;95491 Ahorntal;;BY 40311;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hühnerhof Peter Dietrich;Steintaler Hof 1;97816 Lohr a.Main;;BY 60239;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Hüttnerhof;Zum Espan 12;92224 Amberg;;BY 30137;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Imbiss-Metzgerei Fuchs;Hauptstraße 2;91466 Gerhardshofen;;BY 50298;;;;;;B, O, P, C;;A;;;;;B, O, P, C;B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Hecht;Am Anger 1;85305 Jetzendorf-Hirschenhausen;;BY 10386;;;;;B, O, P;B, O, P;;;fG;;wA, wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Hohenester jun.;Spitalmühle 1;86565 Gachenbach OT Spitalmühle;;BY 10327;;;;;S, B, O, P, C;S, B, O, P, C;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Kiesl;Weihern 5;93086 Wörth a.d.Donau;;BY 30184;;;;;;;;;fG;fG;wL, wU, wG, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Ludwig Asam - Asamhof;Hauptstraße 1;86438 Kissing;;BY 70444;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
